text,label
"Your account is suspended. Send OTP to reactivate.",1
"Congratulations! You've won a prize, click link to claim.",1
"Please transfer ₹7000 to retain your subscription.",1
"Act now to double your money in 7 days!",1
"Verify your bank account number to receive refund.",1
"Send the OTP to complete the transaction.",1
"Please share your card number so we can verify.",1
"Limited time investment opportunity, guaranteed returns.",1
"We need your UPI ID to process payment immediately.",1
"Click this link and enter your netbanking details.",1
"Your parcel is delayed; confirm your card to reschedule.",1
"Hello, are we meeting tomorrow?",0
"Can you send the meeting notes from today's session?",0
"I am running late, I will be there in 10 minutes.",0
"Thanks for the update on the project timeline.",0
"Reminder: staff meeting on Friday at 3pm",0
"Please review the attached draft when you get a moment.",0
"What's the status of the code review?",0
"Happy birthday! Let's celebrate this weekend.",0
"Lunch at 1 pm? I'll book the table.",0
"Could you share the presentation deck?",0
"Are you free for a call later?",0
"Please send the scanned copy of the receipt.",0
"Meeting moved to 4pm, please confirm availability.",0
"Please approve the leave request.",0
"Urgent: update your security settings now.",1
"Your tax refund is ready — verify account to get it.",1
"This is not a scam — send your OTP to proceed.",1
"Immediate action required: verify identity with OTP.",1
"Provide your account number and PIN for verification.",1
"Free gift card! Claim by clicking the link.",1
"Your login attempt was blocked, call this number to restore access.",1
"Can you share the contact list?",0
"Let's do a quick standup at 10 AM.",0
"FYI the server will reboot tonight at 2am.",0
"Please do not share passwords over email.",0
"Account flagged. Provide bank details to confirm identity.",1
"Verify your identity immediately to avoid suspension.",1
"Payment failed. Please resend card details to retry.",1
